22	29	24	21	7
20	11	22	9	23
29	27	19	21	11
21	17	14	22	30
30	28	15	29	19
12	13	17	11	13
10	22	9	9	20
8	26	21	25	16
27	24	13	19	14
19	24	29	29	29
7	19	10	27	10
12	16	8	15	18
28	15	30	13	9
20	26	16	17	27
10	25	24	29	30
17	30	15	10	19
15	26	25	27	27
15	10	15	9	23
8	6	6	14	17
22	16	20	13	19
25	23	26	13	19
7	21	17	19	8
24	7	22	18	18
17	26	30	16	12
6	14	22	28	27
18	16	30	26	25
28	13	28	23	6
19	22	14	24	23
22	13	27	28	6
29	25	28	25	11
6	6	8	15	10
22	16	30	16	6
10	28	15	17	11
17	7	7	24	21
21	22	19	8	20
21	10	23	28	22
13	8	17	17	21
9	12	23	20	14
30	26	13	16	16
19	27	12	16	20
13	13	18	22	21
23	15	9	8	26
8	9	18	28	30
13	9	28	6	8
6	19	27	22	7
26	10	20	20	9
13	14	14	9	6
17	10	30	11	21
11	9	30	9	18
21	13	19	30	26
16	10	14	23	15
25	11	13	9	13
10	24	30	27	10
10	15	10	19	11
15	13	12	25	18
26	12	6	15	17
29	17	29	26	18
17	16	22	18	29
10	7	12	15	10
22	10	24	10	14
21	27	28	13	6
30	26	8	14	13
6	23	17	30	8
14	27	16	29	19
30	7	11	12	10
14	21	21	20	16
12	26	27	8	7
11	20	12	16	19
22	13	25	30	29
8	7	24	27	19
17	14	9	18	7
15	21	20	10	21
14	16	23	21	16
12	13	27	30	14
14	9	19	21	27
30	27	29	19	14
12	23	19	6	10
22	27	8	29	8
21	17	21	20	15
21	17	15	15	27
21	15	7	25	21
24	18	22	13	21
20	23	14	26	10
7	30	26	25	21
29	16	12	15	8
16	24	8	8	18
30	8	16	16	27
22	29	17	17	23
8	16	27	15	23
21	20	12	8	13
24	27	7	8	18
30	19	19	23	22
18	17	9	8	12
14	14	18	26	21
7	17	19	6	27
10	6	9	29	12
23	26	19	13	9
14	26	22	19	21
10	28	18	6	19
9	13	21	22	11
0	2	4	1	4
0	2	2	5	4
